id,family_prefix,family_abbr,family_name,requirement,weight,weight_verified
3.4.3,3.4,CM,Configuration Management,"Track, review, approve or disapprove, and log changes to organizational systems.",5,no
3.4.4,3.4,CM,Configuration Management,Analyze the security impact of changes prior to implementation.,5,no
3.4.5,3.4,CM,Configuration Management,"Define, document, approve, and enforce physical and logical access restrictions associated with changes to organizational systems.",5,no
3.4.6,3.4,CM,Configuration Management,Employ the principle of least functionality by configuring organizational systems to provide only essential capabilities.,5,no
3.4.7,3.4,CM,Configuration Management,"Restrict, disable, or prevent the use of nonessential programs, functions, ports, protocols, and services.",5,no
3.4.8,3.4,CM,Configuration Management,"Apply deny-by-exception (blacklisting) policy to prevent the use of unauthorized software or deny-all, permit-by-exception (whitelisting) policy to allow the execution of authorized software.",5,no
3.4.9,3.4,CM,Configuration Management,Control and monitor user-installed software.,5,no
3.5.1,3.5,IA,Identification and Authentication,"Identify system users, processes acting on behalf of users, and devices.",5,no
3.5.2,3.5,IA,Identification and Authentication,"Authenticate (or verify) the identities of users, processes, or devices, as a prerequisite to allowing access to organizational systems.",5,no
3.5.3,3.5,IA,Identification and Authentication,Use multifactor authentication for local and network access to privileged accounts and for network access to non-privileged accounts.,5,no
3.5.4,3.5,IA,Identification and Authentication,Employ replay-resistant authentication mechanisms for network access to privileged and non-privileged accounts.,5,no
3.5.5,3.5,IA,Identification and Authentication,Prevent reuse of identifiers for a defined period.,5,no
3.5.6,3.5,IA,Identification and Authentication,Disable identifiers after a defined period of inactivity.,5,no
3.5.7,3.5,IA,Identification and Authentication,Enforce a minimum password complexity and change of characters when new passwords are created.,5,no
3.5.8,3.5,IA,Identification and Authentication,Prohibit password reuse for a specified number of generations.,5,no
3.5.9,3.5,IA,Identification and Authentication,Allow temporary password use for system logons with an immediate change to a permanent password.,5,no
3.5.10,3.5,IA,Identification and Authentication,Store and transmit only cryptographically-protected passwords.,5,no
3.5.11,3.5,IA,Identification and Authentication,Obscure feedback of authentication information.,5,no
3.6.1,3.6,IR,Incident Response,"Establish an operational incident-handling capability for organizational systems that includes preparation, detection, analysis, containment, recovery, and user response activities.",5,no
3.6.2,3.6,IR,Incident Response,"Track, document, and report incidents to designated officials and/or authorities both internal and external to the organization.",5,no
3.6.3,3.6,IR,Incident Response,Test the organizational incident response capability.,5,no
3.7.1,3.7,MA,Maintenance,Perform maintenance on organizational systems.,5,no
3.7.2,3.7,MA,Maintenance,"Provide controls on the tools, techniques, mechanisms, and personnel used to conduct system maintenance.",5,no
3.7.3,3.7,MA,Maintenance,Ensure equipment removed for off-site maintenance is sanitized of any CUI.,5,no
3.7.4,3.7,MA,Maintenance,Check media containing diagnostic and test programs for malicious code before the media are used in organizational systems.,5,no
3.7.5,3.7,MA,Maintenance,Require multifactor authentication to establish nonlocal maintenance sessions via external network connections and terminate such connections when nonlocal maintenance is complete.,5,no
3.7.6,3.7,MA,Maintenance,Supervise the maintenance activities of maintenance personnel without required access authorization.,5,no
3.8.1,3.8,MP,Media Protection,"Protect (i.e., physically control and securely store) system media containing CUI, both paper and digital.",5,no
3.8.2,3.8,MP,Media Protection,Limit access to CUI on system media to authorized users.,5,no
3.8.3,3.8,MP,Media Protection,Sanitize or destroy system media containing CUI before disposal or release for reuse.,5,no
3.8.4,3.8,MP,Media Protection,Mark media with necessary CUI markings and distribution limitations.,5,no
3.8.5,3.8,MP,Media Protection,Control access to media containing CUI and maintain accountability for media during transport outside of controlled areas.,5,no
3.8.6,3.8,MP,Media Protection,Implement cryptographic mechanisms to protect the confidentiality of CUI stored on digital media during transport unless otherwise protected by alternative physical safeguards.,5,no
3.8.7,3.8,MP,Media Protection,Control the use of removable media on system components.,5,no
3.8.8,3.8,MP,Media Protection,Prohibit the use of portable storage devices when such devices have no identifiable owner.,5,no
3.8.9,3.8,MP,Media Protection,Protect the confidentiality of backup CUI at storage locations.,5,no
3.9.1,3.9,PS,Personnel Security,Screen individuals prior to authorizing access to organizational systems containing CUI.,5,no
3.9.2,3.9,PS,Personnel Security,Ensure that organizational systems containing CUI are protected during and after personnel actions such as terminations and transfers.,5,no
3.10.1,3.10,PE,Physical Protection,"Limit physical access to organizational systems, equipment, and the respective operating environments to authorized individuals.",5,no
3.10.2,3.10,PE,Physical Protection,Protect and monitor the physical facility and support infrastructure for organizational systems.,5,no
3.10.3,3.10,PE,Physical Protection,Escort visitors and monitor visitor activity.,5,no
3.10.4,3.10,PE,Physical Protection,Maintain audit logs of physical access.,5,no
3.10.5,3.10,PE,Physical Protection,Control and manage physical access devices.,5,no
3.10.6,3.10,PE,Physical Protection,Enforce safeguarding measures for CUI at alternate work sites.,5,no
3.11.1,3.11,RA,Risk Assessment,"Periodically assess the risk to organizational operations, organizational assets, and individuals, resulting from the operation of organizational systems and the associated processing, storage, or transmission of CUI.",5,no
3.11.2,3.11,RA,Risk Assessment,Scan for vulnerabilities in organizational systems and applications periodically and when new vulnerabilities affecting those systems and applications are identified.,5,no
3.11.3,3.11,RA,Risk Assessment,Remediate vulnerabilities in accordance with risk assessments.,5,no
3.12.1,3.12,CA,Security Assessment,Periodically assess the security controls in organizational systems to determine if the controls are effective in their application.,5,no
3.12.2,3.12,CA,Security Assessment,Develop and implement plans of action designed to correct deficiencies and reduce or eliminate vulnerabilities in organizational systems.,5,no
3.12.3,3.12,CA,Security Assessment,Monitor security controls on an ongoing basis to ensure the continued effectiveness of the controls.,5,no
3.12.4,3.12,CA,Security Assessment,"Develop, document, and periodically update system security plans that describe system boundaries, system environments of operation, how security requirements are implemented, and the relationships with or connections to other systems.",5,no
3.13.1,3.13,SC,System and Communications Protection,"Monitor, control, and protect communications at the external boundaries and key internal boundaries of organizational systems.",5,no
3.13.2,3.13,SC,System and Communications Protection,"Employ architectural designs, software development techniques, and systems engineering principles that promote effective information security within organizational systems.",5,no
3.13.3,3.13,SC,System and Communications Protection,Separate user functionality from system management functionality.,5,no
3.13.4,3.13,SC,System and Communications Protection,Prevent unauthorized and unintended information transfer via shared system resources.,5,no
3.13.5,3.13,SC,System and Communications Protection,Implement subnetworks for publicly accessible system components that are physically or logically separated from internal networks.,5,no
3.13.6,3.13,SC,System and Communications Protection,Deny network communications traffic by default and allow network communications traffic by exception.,5,no
3.13.7,3.13,SC,System and Communications Protection,Prevent remote devices from simultaneously establishing non-remote connections with organizational systems and communicating via some other connection to resources in external networks (split tunneling).,5,no
3.13.8,3.13,SC,System and Communications Protection,Implement cryptographic mechanisms to prevent unauthorized disclosure of CUI during transmission unless otherwise protected by alternative physical safeguards.,5,no
3.13.9,3.13,SC,System and Communications Protection,Terminate network connections associated with communications sessions at the end of the sessions or after a defined period of inactivity.,5,no
3.13.10,3.13,SC,System and Communications Protection,Establish and manage cryptographic keys for cryptography employed in organizational systems.,5,no
3.13.11,3.13,SC,System and Communications Protection,Employ FIPS-validated cryptography when used to protect the confidentiality of CUI.,5,no
3.13.12,3.13,SC,System and Communications Protection,Prohibit remote activation of collaborative computing devices and provide indication of devices in use to users present at the device.,5,no
3.13.13,3.13,SC,System and Communications Protection,Control and monitor the use of mobile code.,5,no
3.13.14,3.13,SC,System and Communications Protection,Control and monitor the use of Voice over Internet Protocol (VoIP) technologies.,5,no
3.13.15,3.13,SC,System and Communications Protection,Protect the authenticity of communications sessions.,5,no
3.13.16,3.13,SC,System and Communications Protection,Protect the confidentiality of CUI at rest.,5,no
3.14.1,3.14,SI,System and Information Integrity,"Identify, report, and correct system flaws in a timely manner.",5,no
3.14.2,3.14,SI,System and Information Integrity,Provide protection from malicious code at designated locations within organizational systems.,5,no
3.14.3,3.14,SI,System and Information Integrity,Monitor system security alerts and advisories and take action in response.,5,no
3.14.4,3.14,SI,System and Information Integrity,Update malicious code protection mechanisms when new releases are available.,5,no
3.14.5,3.14,SI,System and Information Integrity,"Perform periodic scans of organizational systems and real-time scans of files from external sources as files are downloaded, opened, or executed.",5,no
3.14.6,3.14,SI,System and Information Integrity,"Monitor organizational systems, including inbound and outbound communications traffic, to detect attacks and indicators of potential attacks.",5,no
3.14.7,3.14,SI,System and Information Integrity,Identify unauthorized use of organizational systems.,5,no
